comments,category
Travelling in 12963 in B2. Thr r many mosquitos in coach. It seems pest control not done and also thr is some kind of smell also in coach. Kindly look asap and if possible send some room frshner.,hygiene
Travelling in 13019 late by 2 hrs still standing at Rampur station from last 1 hour PNR 6711436190,train delay
Travelling in 14235 BSB BE Express in S4 71 72 Facing hell lot of serious buffer problem in train It shakes the whole coach when it comes to start Pls check,poor service
travelling in 19202 in ac compartment here TTE ALLOTING SEATS TO INTERMITTENT PASSENGERS ON GENERAL TICKETS IN AC WHERE IS VIGILANCE CELL NOW RAC PASSENGERS SUFFERING GOI NVR PAY ATTENTION,poor service
travelling in 19326 Washroom has no water inlet Horrible,hygiene
Travelling in 22409 coach G4 berth 31 Attendant refused to give the pillow inspite of paying 25 He says that he gets less number of stock than the required number of seats Kindly help,staff complain
travelling in 22409 pnr 6508978997 G4 31 Attendant is not giving pillow even being paid 25 He says that they don't get full stock as per the number of seats Kindly help in getting the pillow and make the journey comfortable Thankyou,staff complain
Travelling in AC local in Mumbai Still a lot of ppl who don't have valid tickets are traveling No proper checking by TCs Need super active observation Have a look,staff complain
Travelling in B2 train no 11203 Pathetic condition of train Very dirty Rats roaming all around Condition is worst than sleeper class Can you please do something? We are not paying to smell dead rats in AC coach,hygiene
travelling in chair car of bgp danapur intercity the condition is too poor general public have literally occupied the seat in tha ac coach then why we r boarding in ac if we ll nt get safety,security problem
Travelling in Garib Rath 22408 given used Pillow cover in coach G4 seat no 34,poor service
travelling in Garib Rath express 12736 Surprised to see no Green Toilet Bio Toilet Facility,poor service
travelling in holiday rush no water in bodgie pnr 2605358771,poor service
Travelling in Karambhoomi Express to Mumbai Train seems to be running at Tortoise pace Anyone ready to explain this delay?,train delay
travelling in ldh ndls shatabadi current ticket counter was closed so i asked the person on othr window he said i can tic Directly in train before boarding i asked the TC about ticket and he said he will make it after train departs Till sangrur no one came and,staff complain
Travelling in muri express 18310 from Ghaziabad. Standing since last 45 min before kanpur. With humble request,train delay
Travelling in Panvel Gorakhpur train 15066 S2 compartment from starting point i e Panvel itself condition of toilets are horrible Also its very bad smell in whole compartment Not able to see any housekeeping guy Please look into this ASAP,hygiene
travelling in Rajdhani express paid fare equivalent to flight ticket train engine stopped working food is pathetic washrooms are horrible why are you making Indian people fool...pnr 4241310029,hygiene
Travelling in S2 46 in13202. Maximum toilets in coaches r in dirtiest state. Train is stationed at Itarsi. Do needful,hygiene
travelling in Shaktipunj exp 11448. In S4. Some goons forcefully capturing Reserved seats. Not letting us those who have reserved seats sit peacefully. Not willing to listen. Please send railway police force asap. 6 sitting in place of 3. Not acceptable,security problem
travelling in shan e punjab D8 67...SAD DIRTY GLASS...AND.DUST..THAT WAS EXPECTED,hygiene
Travelling in shatabdi 12038 Can't find a charging slot in my row Any help appreciated Anyways what sort of shatabdi don't have a charging slot for each row?,poor service
travelling in surat bandra express train number 12936 booked a ticket in FC where fair is more than AC chair car but there is no AC available in the coaches could someone from railway explain the logic behind charging almost 40 extra for a non AC coach,poor service
Travelling in swaraj express today and this is the condition of the toilet and washbasins,hygiene
Travelling in swarnjayanti SF express 12873 train is running very late as you must be already knowing Please try to do something instead of ignoring this route train as it happening on daily basis,train delay
Travelling in Tejas express from Karmali to CSMT TV not working for me Kindly help me with this,poor service
Travelling in Tejas express from Karmali to CSMT TV not working for me Kindly help me with this,poor service
travelling in train 12321 departed from jabalpur on 11 03 2018 coach S 6 and adjuscent coach' toilet is very dirty,hygiene
Travelling in train 12810 coach number s6 Howrah Mumbai CST Mumbai mail there are 3 drunkards creating problem here on the gate Next station is Jalgaon Kindly help,security problem
travelling in train 14206 Pnr 2443151017 S2 48 The charging points are so loose that it cannot hold a charger to charge laptop Pls help,poor service
Travelling in train 16579 Fans have been switched off from Tumkuru and it is really hot inside train No response to calls in 139 Informed 182 who said they will try as it is not their primary job Pls help with quick response Thanms,poor service
travelling in train 18189 boggy number b2 seat 54 the caterers are providing worst kind of tea selling abovee mrp sometimes its 8 and sometimes 10 extremly poor and cheap servicing open loot,staff complain
travelling in train no 04435 spcl train from lko to anvt pnr is 2824055049 sir train is standing for more than 3 hrs and no staff is telling the reason please solve the issue and reply me also,train delay
Travelling in train no 12423 Dibrugarh New Delhi Rajdhani express Boarded from Guwahati horrible dirty coach no cleaner Coach no B4,hygiene
Travelling in train no 12473 pnr no 810 326 5838 AC is not working at all it is suffocating,poor service
travelling in train no 12533 puspak express from kanpur to mumbai some illegal vendor sending food product and overcharging them no action taken when complain against them Pls do need full,staff complain
Travelling in train no 12833 Meal charge in this train is 120 for veg 130 for non veg standard Thali,staff complain
travelling in train no 15028 pnr no 2143346259 toilet in coach no S1 is very dirty and no fan is working in whole coach,hygiene
travelling in train no 15941coach s6 toilet is over flowing please clean train is entering rampurhat station,hygiene
travelling in train no 64454 people drinking and smoking in last bogi Request them to stop that but still doing that Pleasee needful See below,security problem
Travelling in train number 12167 dated 10th March in S3 Compartment The restrooms are in terrible conditions and also there is no water and electricity supply in one of them 1 of the restrooms is occupied by local people and they have placed gunny bags in the toilet,poor service
Travelling in Train#16615 from Thanjavur to Coimbatore. Coach S2 16 berth is full of dust and unable to sleep. Will be very helpful if I get cleaning service assistance at Tiruchirapalli station. Thanks,hygiene
Travelling in vaigai train I appreciate the fact about the price list in each ticket printout But still I got charged for 10 for one tea instead of 7 and he kept on arguing with me in Villupuram railway station Attached seller id card Please take action,staff complain
Travelling in Vidharba Exprss 12105 Pnr : 8603254847 Bogie nos : B2 Entire bogie is vibrating in running confirmed that this bogie is newly manufactured thus it vibrates pls help us v r unable to sleep,poor service
Travelling in Vivek express 19027 the toilets are very dirty with no water to wash,hygiene
Travelling on 13024 people without ticket holding most of the seat in sleeper class Pls do smthing,staff complain
Travelling on PNR:6611868812 27 02 18 HWH ASN by Purbha I hav seen the Station more than 25 TTE they forcefully demanding on general Tickets might be charged also three times more than reservation tickets Railway should arrange train according to demand,staff complain
travelling on train no 12259 SDAH ANVT DURONTO EXPRESS worst food Why should I pay more just for this kind of food,poor service
Travelling on train number 12566 Waiting ticket passengers occupying confirm berth as their right What we can do? I can't share my PNR detail However it is informed that I am in S 3 coach,security problem
Travelling to Amritsar from NDLS by 12029 a run down Shatabdi AC not working in coach C 12 n toilets in pathetic conditions Newspapers minimal for share only Railways should have a deadline for scrapping such old trains Time to act n clean up the mess RgdsRPN,poor service
Travelling to Guwahati from Anand vihar but the coaches are filled with people with no reservations and me and my father have a RAC hope that the people without reservation get thrown out and people who have a long journey get confirmed seats PNR:2505254772,security problem
travelling via 12981 to udaipur my wife is pregnant and i have to struggle to take my reserved birth,poor service
travelling via coramandal pnr 4442013852 A2 no cleaning coach is very dirty,hygiene
Travelling with 04401 having PNR no 2722381429Coach no S 6Seats are covered with dirt #Swachchha Bharat,poor service
travelling with pnr 2505476776 with train no 12316 about to reach kanpur central and i have to board kolkata rajdhani at kanpur central with rajdhani pnr 2243361225 but train no 12316 is dealyed and my rajdhani is going to missPlease help me out,train delay
travelling with pnr 2605268934 lost my handbag with a ladies purse inside and some money near #puraini station No grp inside the train Need help,security problem
Travelling with pnr no 6111940666 There are almost 3 officials on board for ticket checking but still a passenger has to cross the hurdles to reach the washroom of a sleeper coach,security problem
Travellling in 15280 lights r not available in coaches neither water available in S4' 5 is it swachh bharat Pnr 2824063014,poor service
Travellling in 15280 lights r not available in coachesn nrither cleaned is it swachh bharat Pnr 2824063014,poor service
trian no 17213 still standing on pf no 8 at secundrabad station since 20 10 while it should depart by 20 30 getting late ahead,train delay
tried 138 7 time no response still waiting for any reply responses,poor service
tried 8 times to book ticket from NDLS to ADI on 10th March against Available .Money deducted no tkt,refund
tried connecting with CC to understand what really RAC means,request new service
trn 12423 pnr n 6612068637 food quality excellent staff service good,appreciation
Trn no 12322 always running late after sugestion is start the trn 2hr late frm CSTM 2day trn run 6 hr late,train delay
Trn no 12398 is getting detained for more than 1 hour kastha stn,train delay
Trn no 12398 mahabodhi express is stand still for 3 hour at rafigang,train delay
Trn no 12398 mahabodhi express is stand still for 3 hour at rafigang,train delay
Trn no 12834 started late from source According to u guys a common man doesn't have any value for time,train delay
Trn no 15159 its in worse condition We always suffered when we travelling in it,poor service
TRN:12345 DOJ:11 03 18 SL HWH GHY DP:15:50 S6 full with unreserved passenger Please do the needful,staff complain
Trn:12596 Coffee vending machine not working pic.twitter.com/J0XfWw4vNr,poor service
Trvellling from Madgaon to Dadar by Mandovi Express 10104 now Pantry service poor Mr ASHOK Singh Pantry Manager is arrogantly behaving with me Coach: HA 1 Cabin: A PNR: 8102369373 Please look into and take appropriate actions,poor service
trvling from KYN to Mnmad boarded 15017down S1 frm Kalyan to Mnmad and TTE asked for Rs 80 without receipt because I had General ticket I asked for receipt then TTE said Rs 330 same time TT has taken cash from other pssngers without Receipt and gvn seat,staff complain
Try to sort out train no 12206 which is running late every time Now 55 mins by d time v reach it will 2 hours Why no answer,train delay
Trying to reach #138 for a possible medical emergency of a passenger travelling Train#12291 PNR#4442318025 but response. Can you help?,request new service
tsk issue direct instruction but tsk has done nothing till date still waiting for refund,poor service
tsk issue direct instruction but tsk has done nothing till date still waiting for refund,poor service
TT has allocated my seat to someone else. How can I seat be given to 2 people. Need urgent help,staff complain
TT is not allowing superfast MST in train no 09721 from UDZ to MVJ Can I know why he is denied ?,staff complain
TTE did not come to check ticket in Durg NAUTANWA eXpress 18201 between Satna and Allahabad cheoki on 1 3 2018,staff complain
TTE is not doing his duty PROPERLY FROM GHY . PNR 6512174855.TTE IS NOT CHECKED ANY COACH FROM GHY ONWARD. TTE IS COME FRM DIV,staff complain
TTE is not doing his duty PROPERLY FROM GHY PNR 6512174855 TTE IS NOT CHECKED ANY COACH FROM GHY ONWARD TTE IS COME FRM DIV,staff complain
TTE not reported still at my seat even train has left ndls station at 1 30 pm We can be easily accomadted against our RAC bearth pnr no PNR 2143588942Trn:12716Dt:11 03 2018Frm KUN to NEDCls:SLP1 RC S12 47,staff complain
TTE of 12304 is taking bribe to providing seat to waitlist passenger and not provided seat to rac passenger.,staff complain
TTE permitting WT passengers by collecting pocket money facilitation fee #rail No one cares inside 24227 Exp ACC several standing passengers Wonderfully management,staff complain
TTE sold birth of senior citizen passenger and pulled him out from coach in midnight Train no 12204 Pnr no 6111918762 coach no: G10 birth 63 Is this the way we are going to make our country great ??9968158737,staff complain
TTI has not done any help and he is saying that you talk railway officers.,staff complain
Tulsi exp very bad not going to Banda station ahead 1 km back 30,train delay
TVC138 :I'm in Canmore aleppy executive a passenger lying near toilet making disturbance to passengers don't know how to handle,security problem
Twain no: 12625 KK express B1 AC 3T dated 9 3 18,train delay
two Fan not working in S3 67 in Train no 12850 Pune to Bilaspur,poor service
two instances of #NTES app malfunc both of these show the inquiry I made while the train stood on outskirts of Itarsi 7 PM and Betul 5:45 PM,poor service
Two prople in krishak exp 15007 heavy drunk coachs8 68 berth date 4 03 2018 misbehaving people woman plz take apropriate action now,security problem
u should update yr irctc www by adding save card bank details so that while booking Why captcha twice Once during id check and second time while booking tkt ?Make it user friendly Also option to save family members not more than 10 needed,request new service
U shouldn't have used army for the things which ur ministry failed to deliver,request new service
Unable to book meals online for PNR 2723962555 on irctc ecatering website showing pnr invalid whereas the date of journey is tomorrow Pls help,poor service
unable to book online direct tickets from Jalpaiguri to CSTM through irctc App it has to be modified to facilitate such bookings informed irctc as well hope such facilities be made at the earliest please,poor service
Unable to get to own seat due to unauthorised people.,security problem
unable to see running status of SPL train no. 09011.have to ply today from MGS. Pnr- 8702639437. plz help!,poor service
unable to understand why we take tickets if it is so easy to get a ride in AC 2 In 14555,staff complain
unattended toilet train no 13238 kota Patna dt 04 03 2017 coach AB 1Bio toilets needs to cleaned at every station bad odour,hygiene
Unauthorised passengers denied seat to a visually challenged woman in disabled coach of train no 12163 today No RPF was around for her help Then she informed the driver by getting down at next stn but he did not call RPF train staff for her help,staff complain
Unauthorised passengers denied seat to a visually challenged woman in disabled coach of train no 12163 today No RPF was around for her help Then she informed the driver by getting down at next stn but he did not call RPF train staff for her help,staff complain
Unauthorised vendors selling chips biscuits at higher price than MRP on train no 18622 upon enquiry they say they have to pay bribes hence the extra charge kindly look into the matter,poor service
unauthorized vendor is selling water bottle at rate of 20 rs in place of 15 rs I m currently traveling in Seagram express in coach S8 plz check the coach and take the necessary action,staff complain
unauthorized vendors are roaming inside AB1 Coach of 12488 PNR 2343317362,security problem
unauthorized vendors selling water food in train no 12182 Pl check take necessary action,staff complain
Unbearable stink beside my seat in D4 12497PNR 2443122497 Please redirect to specific authorities,hygiene
Uncleaned toilet PNR:2724063247 TRN:18182 DOJ:05 03 18,hygiene
Undertaking Return journey via PNR 8702033564 made forward journey via PNR 8202033248 on 28th Feb On both the occasions Coach is Vigorously Shaking LEFT RIGHT LEFT RIGHT Translating my Travel Experience to Bullock Cart Ride Experiencing hell,train delay
Unfortunately they are frequent Traveller in this coach only ..I don't know y if this is happening always then y railway allot the person in this coach..at same price to face the problem or what,request new service
Unfortunately they are frequent Traveller in this coach only I don't know y if this is happening always then y railway allot the person in this coach at same price to face the problem or what,poor service
unnecessary delay of train 22863 at allahabad and utharetiya near lucknow today ie on 28.2.18,train delay
Unofficial touts selling water bottle of Rs 15 for Rs 20 in train 11028 Section: Wadi SolapurPNR: 4761323465,staff complain
unreasearved ticket counter not working at Asansol railway junction plz watch it nd solve this matter as soon as possible,poor service
unreserved passengers also travelling in B2 Compartment of 12336 People are doing reservation for comfort purpose,security problem
Unreserved peoples fully accupied in Reserved sleeper coach 16231 Mysore Exp Coach S8 65 72,staff complain
Until a few years back II Class SL coaches had a 6 berth ladies compartment with door This was a boon to ladies traveling alone However seems that has almost been phased out In the interest of safety you may want to reintroduce it,security problem
unwanted people in coach PNR:6211646957,security problem
update me below train no status its actual delayed or not?,poor service
Upto suresh prabhu it work well but today i m travelling from 12392 none of the station have working booth of ro water. Thats india....,poor service
Ur website is showing Expected time of arrival at hbj is 11:38.,train delay
URGENT Brahmaputra Mail from Delhi to Dibrugarh Train#14056 is running 4 hours late and extremely slow with infrequent stops on random places Please take action,train delay
urgent help required I missed my train 22482 at Gurgaon Laptop and bags are in the train Please help,security problem
Urgent help required My seat have been taken by somebody else travelling 12250 Pnr no 250 486 6165 is also helpless,security problem
Urgent help required My seat have been taken somebody else travelling 12250 Pnr no 651 207 7097 B5 Rac was cleared,security problem
urgent help required no water and cleaning in 12719 coach BE1,hygiene
urgent help required to senior citizen 4440913432 ticket is confirmed but unreserved passengers creating problems and abusing Current rail staff in train not able to short out the problem #PiyushGoyal #pmoindia,security problem
urgent help required train no 12250 B5 57 has been taken by someone else pnr no PNR:6512077097,security problem
Urgent medical help required Train 18507VSKP ASR A1 40 PNR 6610893722 Mahatma Muktanand Puri is unconscious reaching BSP,security problem
urgent medical need in 12409 Gondwana Express ....S1 Coach..For a senior citizen...PNR No. 6709417862,security problem
Urgent need to clean coaches and toilets of the train 19024,hygiene
urgent parcel missing 4 out of 4 pkgs of PRR No 2006439683 loaded from NZM in Train No 22656 on 02 03 2018 10:05 Need it in Ratnagiri on urgent basis Find and call 9899698468,security problem
URGENT PNR# 2143206262 Brahmaputra Mail from Delhi to Dibrugarh Train#14056 is running more than 4 hours late and extremely slow with infrequent stops on random places Please take action,train delay
URGENT train num 07009 is delayed by more than 5 hrs now .for last 2 hrs is halted at gaya. No reason no action. Why ????,train delay
urgently need TT TC Railway Police in A1 train #12971 at #ADI PNR# 8556028224,security problem
Urgently requires first aid for my father who got factured in the journey Train No 17020 PNR:4140725752 Kindly help asap Thanks in advance,security problem
Vadodara division KIM railway station surat The water is wasting continuously and nobody from the official to look out At platform no2 Please take care of it,hygiene
Vender Name O.S.R.E,staff complain
Vender person charging water bottle rate Rs20 and a cup of Tea Rs 10. On asking they left water bottle at my hand,staff complain
Vender rate 110/-,staff complain
vendor in train #14650 is looting for everything local water for 20 local veg thali for 120,staff complain
vendor selling water without mrp,staff complain
vendors at manmad station selling water bottle at 20 rs in place of 15 rs tea at 10 rs in place of 5 rs plz take the necessary action,staff complain
Very bad service today Chandigarh to Lucknow 15012 is very late by Railway Chandigarh,poor service
Very bad service today Chandigarh to Lucknow 15012 is very late by Railway Chandigarh..,train delay
very dirty train toilets are smelling like hell train no. 15910 coach: B1,hygiene
very frustrating in 45 min journey my train getting late by 2 hrs still keep standing kudos IR train no 22457 standing at Lalaru,train delay
Very good,appreciation
Very good,appreciation
Very good effort,appreciation
Very good Expect more in coming months,appreciation
Very good initiative,appreciation
very good initiative >Now you can transfer your train ticket to someone else But conditions apply | The News Minute yo u can transfer your train ticket someone else conditions apply 77767,appreciation
very good initiative Congratulations Indian Railway,appreciation
Very good initiative sir incinerator is equally important,appreciation
very good news Sir think about real people serving rail maintain time schedule of trains road transport is snatching revenue,appreciation
very good news Try to introduce some direct train from Muzaffarpur to patna,request new service
very good plane and success well.,appreciation
Very good sir also arrange for number plates on both sides Right and Left and Head and Tail of all Trains,appreciation
Very good step Congratulations to,appreciation
Very good work need more focus at Kurla Kalwa Ghatkopar Dombivali Dadar Bridge Mahim Bandra Andheri Great Initiative keep doing good work Take Videos of such Bullies While taking actions share in social media face covered up CRly,appreciation
very humble question to you all the railway authority why train no 13237 is delayed by 7 hrs from it's origin ?? There is no any value of time of a common people We r just doing private job whr being late causes kicked out,train delay
Very nice and comfortable train No. 12088. Today traveling from Guwahati to Rangapara.. Hope rest of services will be satisfactory.,appreciation
Very nice sir hats off to you,appreciation
Very nice woman power should get best priority,appreciation
Very offensive odor here,hygiene
Very offensive odor here,hygiene
very poor catering in 12439 Rnc Ndls rajdhani a big worry for this train Improve it,staff complain
Very poor maintainance of train number 05527 Train is running 9 hours delay Seats are very dusty passengers have to clean there seats by themselves mosquitoes can be found every where inside the train,hygiene
very poor maintance in humsafar Mumbai to patna no cleaning staff in train,hygiene
Very poor maintance of Humsafar exp mumbai to patna No cleaning staff bogi full of garbage,poor service
very poor maintenance in MST Coach of Train no 22959 229602296122962 it's broken door of toilet and also no window in toilet,hygiene
very poor running time of 12505,train delay
Very poor timing of the train 15115 lok nayak express I don't know this is second time it is being delayed alot Why it is necessary to delay train whether we don't have value for time Very sad,train delay
Very poor what's the method to save fund by Railway Delay time is not being updated on station,train delay
very sad in spite of similar rail break experience on the same track and loco driver not stopping in spite of red flagging tells the story of railways concern for safety .please reward the villager and punish all the concerned officials for negligence .,hygiene
Very sad to say it's height of dirtiness I'm facing in 14055,hygiene
very serious is this Action must be taken,security problem
Very very poor service,poor service
VERY VERY SHAME TO OUR RailMiniIndia...,poor service
very very slippery platform flooring at hyderabad Nampally railway station Plz take a audit and do needful,poor service
Vikramashila 12368 has departed 1hr late and even then barely crawling.,train delay
Vikramshila 12367 is standing at panki for 1hr without any reason There is no other train at this time on this root,train delay
vikramshila is still late As usual It's 8 hour to come kanpur from mugalsarai,train delay
Vista Dome Coach in Train No 12051 shd have individual seat lights like in Flight or Luxury Buses,request new service
Vista Dome Coach in Train No 12051 shd have individual seat lights like in Flight or Luxury Buses,request new service
Vista Dome coach shd have Dimming light system current system too uncomfortable early morning if passenger needs to sleep,poor service
wah Anand Vihar terminal is the cleanest railway of India Authority should be given padmabhushan award,appreciation
Wait...wait ...wait and more wait pic.twitter.com/BYwZjfPnZv,train delay
waitin for 02822 at Bhusaval Delayed by 3 hours Now no bedshits coach position not displayed how and why its called Superfast expressed?? B6 22 and 71,train delay
Waiting at mathura railway station from 9.30 PM. Train number 22532 did not came yet and late again and again,train delay
Waiting at Raigarh station for train no 01661 not showing any status after 3:00 pm,poor service
Waiting for 07115 Spl Train#Salem Kiosk doesn't recognize Spot your train could not update position 4 more than 90 minutes In platform there is no board In ticket booking area display doesn't show this train One broadcast was made What is this?,poor service
Waiting for election spcl train 00387 after a long election duty yet to start from guwahati.16 hours already late,train delay
waiting for last twohr for train no 53636 for Nawada no response from guard of train and enquiry office,staff complain
waiting for last twohr for train no 53636 for Nawada no response from guard of train and enquiry office,train delay
waiting for pantry service Pnr : 2721151163,poor service
waiting for refund since 9th feb. Please suggest a suitable platform for proper resolution of problem. Helpline numbers not working,refund
waiting for the reply since yesterday allow prs counter to do change of boarding after the ticket is booked as I am customer I m facing problem regarding this ministry at least reply,staff complain
waiting for train 13152 there is no display or announcement at lko station. pic.twitter.com/4RLwz4QjLb,poor service
Waiting for train no 05046 Anvt Gorakhpur Spcl from 9:00 am but no update or announcement when train will arrive no update on 139 also,train delay
waiting in Lucknow for train 15653 amarnath express 8 hours late right now How reach Jammu on time all plans will ruined due to this situation,train delay
WANT TO CHANGE MY BOARDING POINT,request new service
was charged Rs 20 for 1hr 2 wheeler parking rd railway station when legal chgr is 10 Was told min receipt is Rs 20,poor service
Washing spoons in spiting sinks,hygiene
washroom bhi bhut ganda hai,hygiene
Washroom is too much dirty and foul smell is coming out Pantry cars not providing menu cards asking them to come to pantry car and see the menu card Pnr 2343396138Seat 27 30,hygiene
Waste of water near platform 7 Ujjain Near to water vending machine Pl save water as said by PM,poor service
Wasted #tour to #Amritsar,poor service
wasting of water at pratapgarh up station from 3 pm,poor service
water blockage in wash basin plzz do action My PNR is 2243009208,hygiene
Water bottel sold at 20 with mrp of 15 in train 19580 PNR 2343220707,staff complain
Water bottle sold @20 in 17209 sbc to bza this is my third complaint from same train in last 15 days pnr 4554762646,staff complain
Water bottle sold 20 in 17209 Bangalore to vijayawada this is third time I complained about this issue in last 15 days request to follow up pnr 4554762646,staff complain
Water bottle sold 20 in 17209 sbc to bza this is my third complaint from same train in last 15 days pnr 4554762646,staff complain
Water bottle sold 20rs with 20 MRP Reno jel brand when asked about staff license he began to fight,staff complain
water is not available in G10,hygiene
water is not coming in S6,poor service
Water problem in our A1 compartment in 11062 pawan  pnr is 6108193321,hygiene
water wending machine of Nashik road railway station no working.....do action plz,poor service
We already have cleaned all the births.This is for your information and necessary action.,appreciation
we always late without any reason due to unexpected stop train no 22419 Suhaildev super fast between Moradabad to ghaziabad,train delay
We are #crowdfunding for  s treatment after a local train accident. Recovery means INR 15.5 lakhs! Counting on your aid and support to bring him back to health. #WeNeedYou . Donate here:,request new service
we are 2 people and a baby Just need a pillow for baby attendant is only giving 2 pillows Can you help,staff complain
"We are aiming towords ""vikas "" Let me ask a simple thing Do we have any toll free railway enquiry no ?Or we have to use only 139 service where we require to pay 2 rs minute for hearing your taperecorder ??",poor service
we are being overcharged pnr no : 8703075208We buyed 2 cutlets the seller told to pay 100 he is fighting with us pls help,staff complain
we are defence personal bt we can't reach to station due delay of train How we reach to our destination now Disgusting system,train delay
We are doing journey in 12968 Jaipur Chennai express we want a first aid urgently please help us,security problem
We are doing journey in 12968 Jaipur Chennai express we want a first aid urgently please help us in S 4 birth number 71 urgently need first aid,security problem
We are dreaming to run Bullet train but not able to run normal train at normal speed.,poor service
we are extremely proud of our army..............................,appreciation
we are having issues regarding mosquitos in train no 15712 please asking price the railway staff to spray mosquito repellent,hygiene
We are in train no 13332 in coach B1.There are thousands of students who have entered the trains and are pulling the chains and not letting the train move.They are shouting and creating nuisance all over the place.,security problem
we are of india Nizamuudin railway station and this is when we feel blessed being at the railway station How can cleanliness can be a option for authorities,hygiene
We are planning to run bullet train also in same manner with delayed time,train delay
We are requesting from 20years but no action had taken till now we had send latters to the prime minister,poor service
We are requsting from Peddapelly district TELANGANA people's that express trains stop arrange at Peddapelly district headqtrd Telangana,request new service
we are talking about bullet train in india what is the use of Bullet train if we are unable to provide basic service s in indian railNo AC working in AC class waiting room Even after complaint no reply from railway officers 2 2,poor service
We are traveling from Madgaon to Pune train number 12779 the AC is not working and its suffocating inside as we can not Open windows please help,poor service
We are traveling in 12504 Agartala-Bengaluru Humsafar Express where there's absolutely no water in many of the coaches including our's i.e,poor service
we are traveling in 17205 PNR no 8203170857 coaches and toiltes are not cleaned pl direct someone to do needful,hygiene
we are traveling in 22461 with PNR 2505303872 Pantry Car staff is providing dinner thali120 In IRCTC menu the rate is 50 55 No clarification for this cheating IRCTC should change its rate card or shut this type of cheating by PC service,staff complain
We are traveling in 2248 from Jodhpur to Delhi now date 5th Mar My PNR 2824021494 Coach B3 Seat 13 14None of AC are working Request you to please look into this matter at the earliest My Contact number 9460510976,poor service
We are traveling with Archana express train no 12355 journey date 6 3 18 coach no B4 sets no 59 we are also complaining about the On SC cooling and problem is same not cooling same We waited for some time hoping that AC will be working but sistuation is same,poor service
We are travelling 4adults from DOS to RNC not Single bed roll provided by attendant Simply no stock of bed roll,poor service
we are travelling in 11058 in S5 Water is not coming from wash basin plz Provide some water facilities soon Thank you,hygiene
We are travelling in a group from madgaon to vasai in jamnagar express PNR 4652710771 and the toilet stinks so much that we have to think twice before going and addition to that we have ladies travelling with us,hygiene
We are travelling in south railway shimoga bangalore train number 16580 Coach D2 SUCH POOR MAINTENANCE VERY DIRTY SMELL COMING FROM THE TOILET CAN NOT SIT IN THE TRAIN,hygiene
we are travelling on Shipra express(22911). S2 coach's washroom is very dirty.please do something. Our PNR no is 8166382237. Coach S2,hygiene
We are travelling through train number 12617 from Madgaon to NZM and we are disappointed with cleaning and water supply in S 9 coach There is no water available since evening and train is running without water and we are facing issue so please help,hygiene
We are travelling through train number 12617 from Madgaon to NZM and we are disappointed with cleaning and water supply in S-9 coach. There is no water available since evening and train is running without water and we are facing issue so please help.,hygiene
we are waiting for 12801 in tatanager station after kgp online status of train not updated 7 04 am,train delay
We are waiting here from 2 hrs.,train delay
We can show only for pictures...But I am again in train number 12582 in coach b 1 ..I am very sorry to say train cleaning condition is worst and no water seems we are in Dustbin.. not Indian railways...aur hum baat karte hai high speed train ke or clean India. This is not India,hygiene
we do jobs We pay taxes Can't we the common man expect extra coaches during festive season ?Train 19032 huge rush Forced to board reservation boggie with unreserved ticket,request new service
We gave u full amount of ticket there is no bargain But on the behalf of facility you gave us a local bogi and we travell in standing ppstion coz ticket less people sitting there and reserved seat people standing Do somthing othere wise refund my money,poor service
We had to fight with a fellow passengers to stop them from throwing trash out of window.,security problem
We have been waiting at Barauni from last 3 hours for train no 03328 This train got delayed more than 3 hours Shameful part is that it departed from Tegra at 16:40 and covered 7km distance of Barauni jn in 1:20Hrs Sorry IR services after paying dynamic fare,train delay
We have never seen the punctuality of Indian Railway except during emerging imposed by Mrs Indira Gandhi,train delay
we have not yet Received Bedroll It s too Cold PNR 8603030241,staff complain
we lost our Mobile Ph in Sleeper Waiting hall in Tirupathi TPTY PNR 4139628590Help us plz,security problem
We love our Jawans,appreciation
We me other passengers missed train 12193 due to no announcement no display of train at YPR station Station staff website misguided us Station manager and Dy manager were not available Complaint Reference Number :W SW SBC 000333976,poor service
We need day time train betw tirupati vijayawada to manage summer rush of pilgrims,request new service
We need to construct standardised FOBs at all train stations that are designed to be broad enough so that they can handle large number of commuters and in some places complimented by an an underpass.,request new service
We not satisfied by Modi no improvement in railway...,poor service
WE passengers suffering from suffocation..,poor service
We pay for services but railway gives us inconvenient in place of my money 12542 LTT GKP SF EXP is going late on each every station We never expect so totally lootin of money Still stop on Harauni without any reason,train delay
We PROUD OF OUR WATTAN KE RAKHWALE,appreciation
we r 8 with 6 sr ctz currently trvlng in 16235 trn no,security problem
we r feeling shame still after 70 years most of the train is running late why who is responsible how many GM or responsible persion r fired it's a politic no one wanna to give facility to indian only fair hick,train delay
we r in jammutavi 12920 no cleaning is done in AC coach A1 simce morning Is this #swacchbharat,hygiene
WE R WAITING AT TCR RLY STATION FRm 1130 TO BOARD SABARI EXPRESS. IN FACT AFTER 1150 NO TRAIN HAVE PASSED. On asking now the information counter staff saying it will create chaos so not informing.. Continue,train delay
We want Rail link between Krishnagar and Karimpur in West Bengal No alternative Plz take immediate action,request new service
